analysis,sr,o,b,db,s,ds,s95obs,s95exp,robscons,rexpcons,source_folder
atlas_2004_14060,SRA-TT,4.0,3.2,0.5,79.76064292003899,6.556284566085885,5.9,5.3,11.69632817485731,13.020440798426064,fpvdm_Mtp1000DMV700
atlas_2211_08028,SR-Gtb-C,4.0,6.0,2.2,64.65707120018781,5.902356544295817,5.0,7.0,10.995441293508534,7.853886638220382,fpvdm_Mtp1000DMV600
atlas_2211_08028,SR-Gtb-M,1.0,1.2,0.6,28.198500000000003,2.819852751363802,3.6,3.7,6.548317079934268,6.3713355372333424,fpvdm_Mtp1100DMV700
atlas_2211_08028,SR-Gbb-C,32.0,33.0,9.0,119.10213034014764,8.011679122411653,18.0,19.0,5.886832032188474,5.576998767336449,fpvdm_Mtp1000DMV700
cms_sus_19_005,7j_3b_loose,8.0,10.9,3.0,51.51246241012716,5.230284132150564,7.2,8.6,5.963166171305588,4.99241818993026,fpvdm_Mtp1000DMV600
cms_1908_04722,A11_6j_1b_600_600,282.0,290.0,13.0,228.4026425999577,11.0145699240196,38.0,43.0,5.535230208541199,4.8915987889433845,fpvdm_Mtp1000DMV700
cms_sus_19_005,3b_loose,16.0,17.6,4.0,59.99683569001241,5.644035593370499,10.3,11.9,4.926273525911145,4.2639174215869575,fpvdm_Mtp1000DMV500
atlas_2010_14293,BDT-GGo3,80.0,85.0,9.0,105.09008230009748,7.525660608042509,22.0,25.0,4.215818131950353,3.709919956116311,fpvdm_Mtp1000DMV700
atlas_1908_03122,SRAH,2.0,3.0,1.5,22.27682472999551,2.506338830449831,4.0,5.0,4.541607262014447,3.633285809611557,fpvdm_Mtp1100DMV700
atlas_1908_03122,SRC28,3.0,2.4,0.6,23.17368621999721,3.5339592887638407,5.2,4.8,3.34192172815856,3.620415205505107,fpvdm_Mtp1000DMV700
atlas_2106_09609,SR4,12.0,8.6,1.1,32.86730051002113,4.208230672571872,10.8,7.5,2.4042409450928943,3.462106960933768,fpvdm_Mtp1000DMV600
atlas_1709_04183,SRD-high,11.0,8.5,1.5,28.8328318760736,2.008876900195133,9.9,7.7,2.5796236120963214,3.316658929838128,fpvdm_Mtp1000DMV700
atlas_1908_03122,SRC26,4.0,3.7,0.9,23.16883713015729,3.533204420519135,5.8,5.4,2.995583082845846,3.2174781260196124,fpvdm_Mtp1000DMV600
cms_sus_19_005,3b_tight,5.0,7.5,2.1,22.160834800311083,1.821610685755492,5.6,7.3,3.4238202277985854,2.62649222954412,fpvdm_Mtp1200DMV700
atlas_2101_01629,6J_btag_1400,68.0,70.0,11.0,66.82654096008913,6.001201227482776,24.0,26.0,2.3743571227923908,2.1917142671929764,fpvdm_Mtp1000DMV700
atlas_2101_01629,6J_btag_2100,7.0,13.6,3.1,25.86280068002817,3.732975460585216,5.4,9.1,3.655689060123781,2.1693099917218044,fpvdm_Mtp1000DMV600
atlas_2211_08028,SR-Gbb-M,18.0,13.0,4.0,32.9890873900033,3.049849069466446,16.0,13.0,1.7492084322548955,2.15287191662141,fpvdm_Mtp1100DMV200
cms_sus_19_005,2b_loose,33.0,32.0,4.5,37.241490460064185,3.217172402488362,15.0,15.0,2.131021847998885,2.131021847998885,fpvdm_Mtp1100DMV400
atlas_1909_08457,Rpc2L2b,12.0,7.8,2.2,23.707602040084517,3.574052574294354,12.2,9.0,1.4627996572329325,1.9829062020268635,fpvdm_Mtp1000DMV600
atlas_1709_04183,SRA-TT,11.0,8.6,2.1,16.990563416031193,1.1154847114353506,10.6,8.3,1.4302989140827564,1.826646805937014,fpvdm_Mtp1100DMV700
atlas_2211_08028,SR-Gtt-1L-M1,0.0,0.56,0.27,5.927703629995125,0.5280817224126773,3.01,2.92,1.681611164531008,1.7334416456295665,fpvdm_Mtp1400DMV700
cms_sus_19_005,2b_tight,12.0,12.0,2.8,19.31316786998655,1.7004347158279498,10.0,10.0,1.6524454936028712,1.6524454936028712,fpvdm_Mtp1200DMV400
cms_2205_09597,SR_W_600,17.0,18.8,3.2,22.30911444002538,3.4423712485654,10.5,11.4,1.5870119611788691,1.4617215431910635,fpvdm_Mtp1000DMV700
atlas_1712_02332,5j-1600,122.0,119.0,12.0,50.807229297884525,2.666695339993109,34.0,32.0,1.3657014394204654,1.4510577793842443,fpvdm_Mtp1000DMV700
atlas_2211_08028,SR-Gtb-B,8.0,2.8,0.9,9.743265775001849,0.6772028818323459,11.3,6.0,0.7639515972386547,1.4387755081327998,fpvdm_Mtp1400DMV600
atlas_2010_14293,BDT-GGo2,25.0,18.0,2.4,15.34402795004346,1.5267965823608602,18.0,11.0,0.7133378641650917,1.1672801413610592,fpvdm_Mtp1200DMV700
atlas_1908_03122,SRC24,12.0,10.6,2.3,15.086612479910018,2.8510905899870047,10.3,9.2,1.010759603138964,1.131611294818623,fpvdm_Mtp1000DMV100
