analysis,sr,o,b,db,s,ds,s95obs,s95exp,robscons,rexpcons,source_folder
atlas_2111_08372,SR1,6382.0,6385.0,81.0,90.51663533264858,20.17669428324612,219.0,224.0,0.262223089991438,0.2563698960184149,i2hdm_mh320_mhc240
atlas_2004_10894,Cat12,22.0,16.6,1.7,3.0294620442008084,1.0306539780667172,15.2,9.9,0.0881045736954863,0.135271668704181,i2hdm_mh320_mhc300
cms_1908_04722,B004_2-3j_0b_350_350,100828.0,100945.0,760.0,206.6735000550885,11.853440339400628,1543.0,1600.0,0.1213440427080178,0.1170211611865447,i2hdm_mh325_mhc260
cms_2107_13201,A_01,274927.0,274705.0,496.0,183.5032029064541,11.89778175046635,1554.0,1403.0,0.1055282116059776,0.1168858452143188,i2hdm_mh320_mhc250
cms_2107_13201,A_00,504865.0,504396.0,856.0,275.8666254246708,16.813831225601827,2509.0,2131.0,0.0989605190174108,0.1165142854128032,i2hdm_mh325_mhc230
cms_1908_04722,A01_2j_0b_600_600,11281.0,11303.0,120.0,41.11139014268126,3.6485636702942448,295.0,312.0,0.1190771041471142,0.1125889286006368,i2hdm_mh345_mhc310
cms_2107_13201,A_02,156727.0,157061.0,338.0,119.74905852863932,6.696276011853057,798.0,993.0,0.1362997066030079,0.109533903191541,i2hdm_mh330_mhc310
cms_2107_13201,A_03,93916.0,93816.0,240.0,83.95348735795301,5.678776610691913,821.0,778.0,0.0909138778519102,0.0959386808694322,i2hdm_mh345_mhc310
cms_2107_13201,A_04,57716.0,57850.0,157.0,54.86550494654156,4.060089396383908,479.0,551.0,0.1006408316001502,0.0874899425344318,i2hdm_mh320_mhc340
atlas_2102_10874,EM05,29458.0,29200.0,400.0,44.03840074558357,3.9288671454702464,1031.0,862.0,0.036464654342398,0.0436137571079029,i2hdm_mh320_mhc320
atlas_2102_10874,EM04,102888.0,101600.0,1200.0,116.5047768700188,8.619074415900926,3428.0,2384.0,0.0298627464492244,0.0429402243405793,i2hdm_mh320_mhc260
atlas_conf_2017_060,IM5,13680.0,12720.0,340.0,23.30715288292112,1.7670063880006768,1520.0,722.0,0.0134271463201315,0.0282676764634349,i2hdm_mh320_mhc270
atlas_2010_14293,SR-2j-2200,971.0,980.0,50.0,7.345530687223762,2.573468142006244,108.0,115.0,0.0289355827253104,0.0271742863855088,i2hdm_mh320_mhc230
atlas_conf_2017_060,EM5,8583.0,8360.0,190.0,12.94857391569811,1.5917468180226564,582.0,410.0,0.0177630741136442,0.025214900327173,i2hdm_mh320_mhc240
atlas_conf_2017_060,IM4,41523.0,39900.0,1000.0,53.836163281831126,3.650250906305595,3268.0,2001.0,0.0146419069141646,0.0239129194380259,i2hdm_mh320_mhc220
