Mtp	DMV	Lumi	Best_Individual	Best_ATLAS	Best_CMS	Best_Combined	Overall_Best
1200	0.025	21.58	14.41	18.33	7.52	13.93	18.33
1200	0.125	21.58	14.75	17.7	9.195	17.5	17.7
1200	0.225	21.58	19.61	23.67	13.4	19.72	23.67
1200	0.325	21.58	25	29.14	13.42	26.35	29.14
1200	0.425	21.58	26.39	30.07	-1	30.07	30.07
1200	0.525	21.58	31.76	34.48	10.94	29.33	34.48
1200	0.625	21.58	37.32	49.9	-1	49.9	49.9
1200	0.725	21.58	44.61	36.68	17.53	34.98	44.61
1200	0.825	21.58	42.19	34.71	17.25	33.66	42.19
1200	0.925	21.58	14.75	18.11	11.75	16.53	18.11
1300	0.025	21.58	10.3	11.97	6.428	10.34	11.97
1300	0.125	21.58	9.764	13.36	6.09	10.52	13.36
1300	0.225	21.58	13.88	15.95	7.449	12.72	15.95
1300	0.325	21.58	14.26	15.76	7.333	12.55	15.76
1300	0.425	21.58	15.8	21.76	-1	21.76	21.76
1300	0.525	21.58	20.58	22.03	-1	22.03	22.03
1300	0.625	21.58	26.3	35.98	-1	35.98	35.98
1300	0.725	21.58	28.9	38.1	-1	38.1	38.1
1300	0.825	21.58	24.78	17.68	12.11	19.51	24.78
1300	0.925	21.58	11.1	11.55	5.861	9.652	11.55
1400	0.025	21.58	7.065	8.487	2.908	6.427	8.487
1400	0.125	21.58	8.444	9.058	5.201	7.969	9.058
1400	0.225	21.58	8.713	9.839	5.334	9.604	9.839
1400	0.325	21.58	10.68	13.08	6.131	9.284	13.08
1400	0.425	21.58	10.81	13.21	-1	13.21	13.21
1400	0.525	21.58	14.01	19.49	-1	19.49	19.49
1400	0.625	21.58	16.38	22.86	-1	22.86	22.86
1400	0.725	21.58	20.74	28.47	-1	28.47	28.47
1400	0.825	21.58	18.06	13.47	7.986	14.15	18.06
1400	0.925	21.58	8.385	8.212	5.483	7.953	8.385
1500	0.025	21.58	4.906	5.75	2.82	4.218	5.75
1500	0.125	21.58	6.996	5.493	3.038	4.826	6.996
1500	0.225	21.58	6.268	6.147	3.074	5.094	6.268
1500	0.325	21.58	7.241	8.584	3.249	6.78	8.584
1500	0.425	21.58	8.542	10.33	3.792	8.051	10.33
1500	0.525	21.58	10.57	13.86	-1	13.86	13.86
1500	0.625	21.58	12.03	16.2	-1	16.2	16.2
1500	0.725	21.58	12.51	17.82	-1	17.82	17.82
1500	0.825	21.58	11.89	11.89	6.564	9.028	11.89
1500	0.925	21.58	5.397	5.494	4.117	5.746	5.746
1600	0.025	21.58	4.091	3.104	1.641	2.656	4.091
1600	0.125	21.58	4.319	3.439	1.737	2.867	4.319
1600	0.225	21.58	4.283	3.526	2.021	3.165	4.283
1600	0.325	21.58	5.21	6.172	1.93	4.506	6.172
1600	0.425	21.58	6.383	7.83	2.142	5.438	7.83
1600	0.525	21.58	6.854	8.608	2.738	6.326	8.608
1600	0.625	21.58	8.321	10.64	-1	10.64	10.64
1600	0.725	21.58	10.26	12.86	-1	12.86	12.86
1600	0.825	21.58	8.21	8.21	4.088	5.798	8.21
1600	0.925	21.58	3.733	3.56	2.318	3.456	3.733
1700	0.025	21.58	2.122	1.72	0.737	1.621	2.122
1700	0.125	21.58	2.591	1.85	1.182	1.775	2.591
1700	0.225	21.58	3.263	2.453	1.454	2.503	3.263
1700	0.325	21.58	3.406	4.182	1.3	3.061	4.182
1700	0.425	21.58	4.205	5.24	1.547	3.132	5.24
1700	0.525	21.58	4.895	6.339	1.89	3.758	6.339
1700	0.625	21.58	6.073	8.125	-1	8.125	8.125
1700	0.725	21.58	6.424	9.104	-1	9.104	9.104
1700	0.825	21.58	4.862	4.491	2.473	3.936	4.862
1700	0.925	21.58	2.612	2.612	1.693	2.178	2.612
1800	0.025	21.58	1.651	1.123	0.5683	1.13	1.651
1800	0.125	21.58	1.664	1.325	0.6625	1.327	1.664
1800	0.225	21.58	2.059	1.49	0.7326	1.482	2.059
1800	0.325	21.58	2.167	2.566	0.8323	1.91	2.566
1800	0.425	21.58	2.955	3.679	0.9534	2.043	3.679
1800	0.525	21.58	3.307	4.154	1.153	2.412	4.154
1800	0.625	21.58	4.3	5.652	-1	5.652	5.652
1800	0.725	21.58	5.28	6.461	-1	6.461	6.461
1800	0.825	21.58	2.978	2.978	1.569	2.231	2.978
1800	0.925	21.58	1.835	1.835	1.025	1.431	1.835
1900	0.025	21.58	1.008	0.7118	0.3564	0.7133	1.008
1900	0.125	21.58	1.144	1.288	0.3965	0.9395	1.288
1900	0.225	21.58	1.361	1.547	0.4777	0.945	1.547
1900	0.325	21.58	1.773	2.024	0.497	1.113	2.024
1900	0.425	21.58	2.089	2.534	-1	2.534	2.534
1900	0.525	21.58	2.254	2.828	0.6538	1.516	2.828
1900	0.625	21.58	2.931	3.774	-1	3.774	3.774
1900	0.725	21.58	3.76	4.682	-1	4.682	4.682
1900	0.825	21.58	2.069	1.816	0.918	1.323	2.069
1900	0.925	21.58	1.646	1.251	0.701	0.9781	1.646
2000	0.025	21.58	0.6859	0.4365	0.2227	0.4408	0.6859
2000	0.125	21.58	0.6604	0.7446	0.2648	0.5754	0.7446
2000	0.225	21.58	0.8517	0.9578	0.2599	0.5506	0.9578
2000	0.325	21.58	1.204	1.329	0.2953	0.7011	1.329
2000	0.425	21.58	1.355	1.622	0.3688	0.864	1.622
2000	0.525	21.58	1.783	2.18	-1	2.18	2.18
2000	0.625	21.58	2.089	2.574	-1	2.574	2.574
2000	0.725	21.58	2.601	3.12	-1	3.12	3.12
2000	0.825	21.58	2.942	3.37	-1	3.37	3.37
2000	0.925	21.58	0.9881	0.7869	0.4513	0.6254	0.9881
2100	0.025	21.58	0.4883	0.268	-1	0.268	0.4883
2100	0.125	21.58	0.5202	0.547	0.1515	0.3174	0.547
2100	0.225	21.58	0.6205	0.697	0.1745	0.3866	0.697
2100	0.325	21.58	0.7188	0.8027	0.1947	0.4392	0.8027
