Mtp	DMV	Lumi	Best_Individual	Best_ATLAS	Best_CMS	Best_Combined	Overall_Best
1000	100	21.58	36.32	35.68	15.14	21.8	36.32
1000	200	21.58	42.48	47.66	28.16	50.53	50.53
1000	300	21.58	46.17	48.79	21.63	47.05	48.79
1000	400	21.58	59.72	60.98	18.05	55.58	60.98
1000	500	21.58	64.01	74.68	33.12	60.95	74.68
1000	600	21.58	70.18	88.24	26.52	73.85	88.24
1000	700	21.58	91.13	88.1	32.12	79.4	91.13
1100	100	21.58	25.12	32.81	14.46	23.79	32.81
1100	200	21.58	30.6	36.46	17.88	29.18	36.46
1100	300	21.58	33.84	40.12	16.08	32.09	40.12
1100	400	21.58	36.73	34.75	11.95	30.86	36.73
1100	500	21.58	38.97	50.42	23.17	41.89	50.42
1100	600	21.58	44.45	52.65	-1	52.65	52.65
1100	700	21.58	51.55	57.63	-1	57.63	57.63
1200	100	21.58	14.92	20.4	12.56	17.97	20.4
1200	200	21.58	22.91	24.66	8.813	18.75	24.66
1200	300	21.58	20.83	24.23	14.56	21	24.23
1200	400	21.58	25.86	28.59	12.36	21.87	28.59
1200	500	21.58	24.99	30.66	14.17	26.24	30.66
1200	600	21.58	26.73	30.99	-1	30.99	30.99
1200	700	21.58	36.63	40.56	-1	40.56	40.56
1300	100	21.58	9.857	13.12	6.971	11.01	13.12
1300	200	21.58	12.15	15.22	7.65	12.65	15.22
1300	300	21.58	14.17	16.01	9.849	14.71	16.01
1300	400	21.58	14.16	18.05	5.948	16.82	18.05
1300	500	21.58	15.69	18.46	-1	18.46	18.46
1300	600	21.58	17.04	19.87	7.465	15.42	19.87
1300	700	21.58	21.94	28.45	-1	28.45	28.45
1400	100	21.58	6.799	7.843	4.26	6.818	7.843
1400	200	21.58	8.063	9.125	4.743	7.731	9.125
1400	300	21.58	8.445	9.498	6.181	9.045	9.498
1400	500	21.58	10.83	11.12	6.612	10.2	11.12
1400	600	21.58	11	14.46	4.802	11.94	14.46
1400	700	21.58	13.68	18.49	-1	18.49	18.49
1500	100	21.58	6.21	5.243	2.589	4.315	6.21
1500	200	21.58	5.421	5.55	3.11	4.915	5.55
1500	300	21.58	5.967	5.494	2.501	5.299	5.967
1500	400	21.58	6.329	7.667	2.704	5.904	7.667
1500	500	21.58	7.209	8.414	3.194	6.654	8.414
1500	600	21.58	9.237	11	3.642	8.214	11
1500	700	21.58	9.328	11.87	3.737	8.689	11.87
1600	100	21.58	3.252	2.904	1.373	2.843	3.252
1600	200	21.58	3.968	4.555	1.498	3.41	4.555
1600	300	21.58	4.405	3.526	2.059	3.201	4.405
1600	400	21.58	4.564	3.772	1.984	3.218	4.564
1600	500	21.58	4.914	5.759	2.048	4.45	5.759
1600	600	21.58	6.45	7.681	2.283	5.529	7.681
1600	700	21.58	5.646	7.372	2.29	5.368	7.372
1700	100	21.58	2.59	2.025	1.262	1.913	2.59
1700	200	21.58	2.397	2.807	0.9702	2.144	2.807
1700	300	21.58	2.825	3.228	1.333	2.125	3.228
1700	400	21.58	3.193	3.621	1.172	2.693	3.621
1700	500	21.58	3.212	3.798	1.331	2.917	3.798
1700	600	21.58	3.702	4.482	1.259	3.159	4.482
1700	700	21.58	3.987	4.713	1.537	2.922	4.713
1800	100	21.58	1.75	1.973	0.6222	1.217	1.973
1800	200	21.58	1.789	1.31	0.676	1.329	1.789
1800	300	21.58	1.795	1.222	0.8234	1.212	1.795
1800	400	21.58	1.963	2.291	0.6868	1.654	2.291
1800	500	21.58	2.198	2.583	0.8054	1.585	2.583
1800	600	21.58	2.581	3.017	0.8509	1.765	3.017
1800	700	21.58	2.419	2.869	0.9183	1.761	2.869
1900	100	21.58	1.026	0.7005	0.39	0.7342	1.026
1900	200	21.58	1.127	0.8206	0.3868	0.8024	1.127
1900	300	21.58	1.336	0.8181	0.4267	0.8338	1.336
1900	400	21.58	1.323	0.84	0.4395	0.7549	1.323
1900	500	21.58	1.437	1.592	0.4746	0.9561	1.592
1900	600	21.58	1.71	1.959	0.5307	1.125	1.959
1900	700	21.58	1.748	2.054	0.5578	1.181	2.054
2000	100	21.58	0.7759	0.4878	0.2331	0.4797	0.7759
2000	200	21.58	0.7154	0.4009	0.2494	0.3969	0.7154
2000	300	21.58	0.8176	0.4987	0.2513	0.501	0.8176
2000	400	21.58	0.8291	0.8968	0.2695	0.6482	0.8968
2000	500	21.58	1.052	1.139	0.2914	0.6377	1.139
2000	600	21.58	0.9807	1.169	0.304	0.6593	1.169
2000	700	21.58	1.306	1.435	0.3382	0.7758	1.435
