Mtp	DMV	Lumi	Best_Individual	Best_ATLAS	Best_CMS	Best_Combined	Overall_Best
1000	100	1	5.274	6.708	3.192	4.596	6.708
1000	200	1	6.168	8.958	5.634	10.19	10.19
1000	300	1	6.705	9.17	4.297	9.437	9.437
1000	400	1	8.672	11.46	3.495	11	11.46
1000	500	1	9.295	12.62	6.578	12.14	12.62
1000	600	1	10.19	14.91	4.926	14.02	14.91
1000	700	1	13.23	16.56	6.379	15.92	16.56
1100	100	1	3.648	5.542	2.939	4.839	5.542
1100	200	1	4.444	6.159	3.597	5.882	6.159
1100	300	1	4.914	6.778	3.162	6.339	6.778
1100	400	1	5.333	6.532	2.356	6.168	6.532
1100	500	1	5.659	8.518	4.601	8.342	8.518
1100	600	1	6.454	8.894	-1	8.894	8.894
1100	700	1	7.486	9.342	-1	9.342	9.342
1200	100	1	2.167	3.447	2.559	3.665	3.665
1200	200	1	3.327	4.166	1.733	3.704	4.166
1200	300	1	3.025	4.093	2.968	4.283	4.283
1200	400	1	3.755	4.83	2.471	4.386	4.83
1200	500	1	3.629	5.18	2.787	5.183	5.183
1200	600	1	3.882	5.236	-1	5.236	5.236
1200	700	1	5.318	6.434	-1	6.434	6.434
1300	100	1	1.431	2.216	1.402	2.219	2.219
1300	200	1	1.765	2.572	1.53	2.537	2.572
1300	300	1	2.057	2.704	1.981	2.964	2.964
1300	400	1	2.056	3.049	1.044	3.104	3.104
1300	500	1	2.279	2.968	-1	2.968	2.968
1300	600	1	2.474	3.335	1.31	3.528	3.528
1300	700	1	2.697	3.782	-1	3.782	3.782
1400	100	1	0.9982	1.325	0.8521	1.367	1.367
1400	200	1	1.171	1.542	0.9485	1.55	1.55
1400	300	1	1.24	1.605	1.243	1.823	1.823
1400	500	1	1.59	1.879	1.322	2.046	2.046
1400	600	1	1.615	2.184	0.843	2.159	2.184
1400	700	1	1.91	2.765	-1	2.765	2.765
1500	100	1	0.9116	0.8858	0.5178	0.8652	0.9116
1500	200	1	0.7958	0.9377	0.6221	0.9856	0.9856
1500	300	1	0.876	0.9281	0.4625	1.004	1.004
1500	400	1	0.9291	1.164	0.5	1.107	1.164
1500	500	1	1.058	1.271	0.5907	1.247	1.271
1500	600	1	1.356	1.662	0.6735	1.54	1.662
1500	700	1	1.369	1.793	0.6911	1.629	1.793
1600	100	1	0.4774	0.4906	0.2539	0.5384	0.5384
1600	200	1	0.5826	0.6916	0.2771	0.6395	0.6916
1600	300	1	0.6467	0.5958	0.4118	0.6418	0.6467
1600	400	1	0.67	0.6373	0.3969	0.6454	0.67
1600	500	1	0.7213	0.8744	0.3787	0.8347	0.8744
1600	600	1	0.9469	1.166	0.4221	1.037	1.166
1600	700	1	0.8289	1.114	0.4236	1.006	1.114
1700	100	1	0.3803	0.3421	0.2525	0.3836	0.3836
1700	200	1	0.3518	0.4262	0.1794	0.4021	0.4262
1700	300	1	0.4148	0.4902	0.2667	0.4258	0.4902
1700	400	1	0.4687	0.5498	0.2167	0.5051	0.5498
1700	500	1	0.4715	0.5767	0.2462	0.5472	0.5767
1700	600	1	0.5435	0.6805	0.2328	0.5926	0.6805
1700	700	1	0.5853	0.713	0.2843	0.6581	0.713
1800	100	1	0.2397	0.2876	0.1151	0.2658	0.2876
1800	200	1	0.2626	0.2213	0.125	0.2517	0.2626
1800	300	1	0.2635	0.2065	0.1647	0.2431	0.2635
1800	400	1	0.2882	0.3478	0.127	0.3103	0.3478
1800	500	1	0.3164	0.3863	0.1489	0.3519	0.3863
1800	600	1	0.3735	0.4539	0.1574	0.3972	0.4539
1800	700	1	0.3551	0.4347	0.1698	0.398	0.4347
1900	100	1	0.1506	0.1183	0.07213	0.1391	0.1506
1900	200	1	0.1637	0.1386	0.07153	0.152	0.1637
1900	300	1	0.1777	0.1382	0.0789	0.1579	0.1777
1900	400	1	0.1825	0.122	0.08128	0.141	0.1825
1900	500	1	0.2013	0.2376	0.08777	0.2129	0.2376
1900	600	1	0.227	0.2774	0.09814	0.2445	0.2774
1900	700	1	0.2353	0.2918	0.1032	0.2572	0.2918
2000	100	1	0.09409	0.08242	0.04312	0.09084	0.09409
2000	200	1	0.1041	0.05822	0.04612	0.07414	0.1041
2000	300	1	0.1085	0.08425	0.04647	0.09488	0.1085
2000	400	1	0.1182	0.1362	0.04984	0.1216	0.1362
2000	500	1	0.1285	0.1534	0.0539	0.1349	0.1534
2000	600	1	0.1257	0.1593	0.05622	0.1403	0.1593
2000	700	1	0.1547	0.188	0.06255	0.1621	0.188
